# {"t_start": 1571361397.368302, "env_id": "AntBulletEnv-v0"} 
r,l,t
421.891504,1000,4.485057
394.107326,1000,6.372297
93.980539,227,6.784512
352.103351,1000,8.691771
441.412829,1000,12.19249
456.12,1000,14.049527
464.30013,1000,15.922258
461.533608,1000,17.759401
447.322336,1000,19.940913
459.395436,1000,21.795809
462.041682,1000,23.661542
462.874845,1000,25.512974
451.136822,1000,27.390402
475.583492,1000,29.530821
41.269674,104,29.720966
477.0913,1000,31.573555
475.719315,1000,33.44215
466.508703,1000,35.290001
